ImageID,Source,LabelName,Confidence
000c6388be8d67a0,verification,/m/0204fg,1
113803658fe2076b,crowdsource-verification,/m/0204fg,1
efe0de6f6f130d94,verification,/m/0204fg,1
00402d44c6135333,verification,/m/0204fg,1
0f59c94d1478bef9,crowdsource-verification,/m/0204fg,1
0a01bbad4039df9c,verification,/m/0204fg,1
07deaef4e936f06f,verification,/m/0204fg,1
10896b8c9aaf34cf,crowdsource-verification,/m/0204fg,1
11208c94b73b53c8,crowdsource-verification,/m/0204fg,1
f1e22e8f86bde26f,verification,/m/0204fg,1
07b02cce161e0406,crowdsource-verification,/m/0204fg,1
692e9e3c290e82f7,verification,/m/0204fg,1
002054b7ed8ef8c7,verification,/m/0204fg,1
01ebd9a7bc5b1542,verification,/m/0204fg,1
0049bc3020b4c1c1,verification,/m/0204fg,1
009a212ab8033394,verification,/m/0204fg,1
005c9cd140c62d2a,verification,/m/0204fg,1
001ca8f5696a5fcd,verification,/m/0204fg,1
3a6454ca72018dec,verification,/m/0204fg,1
0df2b643bf350da9,crowdsource-verification,/m/0204fg,1
00089f491c12d62f,verification,/m/0204fg,1
006da7d8e0ea820a,verification,/m/0204fg,1
00d31c21887c260f,verification,/m/0204fg,1
04c3788f162e8bd0,verification,/m/0204fg,1
00b20d09b71be8a3,verification,/m/0204fg,1
00064f91bca22502,verification,/m/0204fg,1
00ab2e57147849c2,verification,/m/0204fg,1
9aa29d4adc92266e,verification,/m/0204fg,1
013c37b5abdd34c2,crowdsource-verification,/m/0204fg,1
167dbfb3f850fa73,crowdsource-verification,/m/0204fg,1
0193d3bb86c9d0e0,verification,/m/0204fg,1
0ea0122630dce5da,verification,/m/0204fg,1
08063576e9ea96f4,verification,/m/0204fg,1
0621e417f5713b88,crowdsource-verification,/m/0204fg,1
dd876a49698f0639,crowdsource-verification,/m/0204fg,1
00f1161d674398d9,verification,/m/0204fg,1
01b3f6254384e578,verification,/m/0204fg,1
0aabbd62f968ec15,verification,/m/0204fg,1
00605bc4a3ff6a51,verification,/m/0204fg,1
002c3cfbadaa29c4,verification,/m/0204fg,1
176df15558354490,verification,/m/0204fg,1
019593419514d93a,verification,/m/0204fg,1
07dd7409f8c112d8,verification,/m/0204fg,1
3b5a3f57ee9b0365,verification,/m/0204fg,1
002f81522d75f8c2,verification,/m/0204fg,1
00a7e199f36d16e7,verification,/m/0204fg,1
d4ddcc06cc2b1f9b,crowdsource-verification,/m/0204fg,1
6f9b176d1e4b5ef1,verification,/m/0204fg,1
da4be9125f1e5462,verification,/m/0204fg,1
02340ff2d1d5c854,crowdsource-verification,/m/0204fg,1
